Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,-0.868261039,-0.728124201,-0.726669908,-0.735878944,-0.784096122,-0.74563235,-0.654705822,-0.744574428,-0.70774436,-0.641708136,-0.508597851,-0.502911985,-0.741118491,-0.672376871,-0.680792749,-0.626104653,-0.629500389,-0.509275019,-0.504086554,-0.59461385,-0.630264878,-0.647337437,,,
"Egypt, Arab Rep.",-0.440157712,-0.53074795,-0.58350575,-0.539499521,-0.737334073,-0.737870097,-0.765909255,-0.464862794,-0.596871853,-0.633263946,-0.57966435,-0.614102066,-0.575518012,-0.60090673,-0.590893149,-0.495982349,-0.514722347,-0.655317545,-0.810433626,-0.705943346,-0.678962171,-0.747790396,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0.125430346,-0.048502833,-0.148119673,-0.318069249,-0.345739335,-0.411584377,-0.358149886,-0.473421842,-0.550964773,-0.641272008,-0.778626442,-0.909558475,-0.885516047,-1.339490652,-1.344418287,-1.231316328,-1.322522044,-1.407732368,-1.340578318,-1.257548571,-1.282246232,-1.475264907,,,
Spain,1.316825151,1.348911166,1.337189078,1.327615857,1.177665472,1.079032421,1.178771973,1.054948092,1.160037041,1.163212419,1.170406342,0.926990271,0.689240038,0.63098675,0.569826066,0.510279894,0.612778783,0.666394532,0.711801946,0.715437472,0.685416162,0.629368722,,,
Estonia,0.739191175,0.922725499,0.982846856,0.994831264,1.012343884,0.96780771,0.952435076,1.000682592,0.989536285,1.045448303,1.088298321,1.181444526,1.298770547,1.255370736,1.231093168,1.202630877,1.468503714,1.525247574,1.58082056,1.506608486,1.544712782,1.538122296,,,
Ethiopia,-0.717909098,-0.777412176,-0.757493496,-0.772508383,-0.650104702,-0.632185876,-0.666399777,-0.704722345,-0.694108725,-0.667876601,-0.608586848,-0.501710415,-0.448165894,-0.476118475,-0.442086548,-0.582322061,-0.505317926,-0.434498817,-0.389672369,-0.422021747,-0.433258951,-0.465061635,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2.369009733,2.374123812,2.410111427,2.314718962,2.454110861,2.389477491,2.320845842,2.240718603,2.151669741,2.191915035,2.226846695,2.200242758,2.15926671,2.21564579,2.186306953,2.162336588,2.171759129,2.113932848,2.17043972,2.237840652,2.246865034,2.221516609,,,
Fiji,0.610876262,0.276081532,0.290086865,-0.224626929,0.184131041,0.121460937,0.098341845,-0.154777318,-0.159897983,0.108835898,0.181172475,0.196483538,0.385087878,0.378061682,0.335585773,0.638820291,0.699951291,0.688054383,0.613366008,0.443440259,0.388872087,0.506272018,,,
France,1.191585183,1.305756092,1.311163783,1.357538223,1.45506084,1.456001759,1.39503479,1.429969311,1.487756133,1.537773252,1.471969485,1.304333687,1.287985563,1.247834802,1.328288913,1.224527001,1.2815516,1.248062253,1.122619987,1.281936288,1.259436131,1.184821844,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,0.32329455,-0.12089359,-0.104157448,-0.24031949,-0.217524931,-0.219170406,-0.259419352,-0.344322592,-0.12400189,-0.179501384,0.814282,0.678406954,0.705651104,0.768536806,0.672313213,0.710593283,0.874902904,0.563497782,0.483295739,0.783704281,,,
Gabon,-0.520378828,-0.553776979,-0.826650083,-0.660073698,-1.083067894,-1.166331768,-1.16565454,-1.077147484,-0.905257821,-0.893178523,-0.666252255,-0.634305477,-0.678029418,-0.723602355,-0.758754313,-0.8418926,-0.85915345,-0.887044489,-0.886901438,-0.86800009,-1.042976618,-1.01552844,,,
United Kingdom,2.002636671,1.982953906,1.910911679,1.89147985,1.782940269,1.732870221,1.668904305,1.623889804,1.605673909,1.614863515,1.665460467,1.718897581,1.746339202,1.831268311,1.850517273,1.814270496,1.806870818,1.748667479,1.660201192,1.640584111,1.620121479,1.480913877,,,
