year,country,us_prop_fav,china_prop_fav
2003,Nicaragua,0.7932584269662921,0.7002967359050445
2003,Panama,0.8832599118942731,0.6204379562043796
2003,Paraguay,0.5565371024734982,0.8156182212581344
2003,Peru,0.7280625543006082,0.7160220994475138
2003,Uruguay,0.5018382352941176,0.7125171939477304
2003,Venezuela,0.6648648648648648,0.6488469601677149
2004,Argentina,0.337251356238698,0.7535301668806161
2004,Bolivia,0.5153010858835143,0.7961038961038961
2004,Brazil,0.5637209302325581,0.8288888888888889
2004,Chile,0.6666666666666666,0.8019900497512438
2004,Colombia,0.7676678445229682,0.8064516129032258
2004,Costa Rica,0.8663793103448276,0.8388969521044993
2004,Ecuador,0.8227513227513228,0.7861635220125787
2004,El Salvador,0.9111592632719393,0.8090062111801242
2004,Guatemala,0.8927738927738927,0.7873462214411248
2004,Honduras,0.8949671772428884,0.8688760806916427
2004,Mexico,0.4141156462585034,0.6880998080614203
2004,Nicaragua,0.7879133409350056,0.752827140549273
2004,Panama,0.8856526429341963,0.7054597701149425
2004,Paraguay,0.6363636363636364,0.904
2004,Peru,0.7702349869451697,0.7045951859956237
2004,Uruguay,0.4666666666666667,0.8036144578313253
2004,Venezuela,0.6808721506442021,0.7957110609480813
2005,Argentina,0.34798534798534797,0.6765432098765433
2005,Bolivia,0.5602240896358543,0.7809867629362214
2005,Brazil,0.5953488372093023,0.7213822894168467
2005,Chile,0.618491921005386,0.7793522267206477
2005,Colombia,0.7493285586392122,0.796440489432703
2005,Costa Rica,0.8169934640522876,0.7853881278538812
2005,Ecuador,0.7460018814675446,0.7073760580411125
2005,El Salvador,0.8559411146161935,0.7296
2005,Guatemala,0.8213903743315508,0.8220230473751601
2005,Honduras,0.9055036344755971,0.8702290076335878
2005,Mexico,0.5432733504712939,0.6579476861167002
2005,Nicaragua,0.7895348837209303,0.7912254160363086
2005,Panama,0.8918345705196182,0.7355769230769231
2005,Paraguay,0.5718503937007874,0.8164313222079589
2005,Peru,0.7767612076852699,0.7525083612040134
2005,Uruguay,0.45103857566765576,0.7355263157894737
2005,Venezuela,0.4678811121764142,0.8252536640360767
2006,Argentina,0.21872265966754156,0.7650933040614709
2006,Bolivia,0.5264100268576545,0.7717277486910995
2006,Brazil,0.6239151398264223,0.7242152466367713
2006,Chile,0.7339945897204689,0.8704761904761905
2006,Colombia,0.7435456110154905,0.8216216216216217
2006,Costa Rica,0.8603651987110634,0.8437884378843789
2006,Ecuador,0.654231119199272,0.7
2006,El Salvador,0.8733401430030644,0.7616279069767442
2006,Guatemala,0.8299776286353467,0.8255659121171771
2006,Honduras,0.8785638859556494,0.9093050647820966
2006,Mexico,0.5468895078922934,0.6883561643835616
2006,Nicaragua,0.8361522198731501,0.7844925883694412
2006,Panama,0.9509394572025052,0.7935174069627852
2006,Paraguay,0.6264367816091954,0.8676148796498906
2006,Peru,0.7472324723247232,0.7776606954689147
2006,Uruguay,0.6310063463281959,0.8381696428571429
2006,Venezuela,0.33941605839416056,0.8873106060606061
2007,Argentina,0.37454545454545457,0.6650426309378806
2007,Bolivia,0.5897435897435898,0.7596439169139466
2007,Brazil,0.6682027649769585,0.673728813559322
2007,Chile,0.6388625592417062,0.7655935613682092
2007,Colombia,0.764808362369338,0.7473002159827213
2007,Costa Rica,0.7153846153846154,0.7246963562753036
2007,Ecuador,0.7504638218923934,0.7391304347826086
2007,El Salvador,0.8727655099894848,0.8164556962025317
2007,Guatemala,0.7423887587822015,0.7389984825493171
2007,Honduras,0.8364583333333333,0.8522167487684729
2007,Mexico,0.6614583333333334,0.6705756929637526
2007,Nicaragua,0.8556263269639066,0.8423645320197044
2007,Panama,0.9042105263157895,0.7164556962025317
2007,Paraguay,0.6603174603174603,0.8423841059602649
2007,Peru,0.7316849816849816,0.772399588053553
2007,Uruguay,0.596892138939671,0.740484429065744
2007,Venezuela,0.544954128440367,0.8146679881070367
2008,Argentina,0.8431372549019608,0.7180365296803652
2008,Bolivia,0.8706896551724138,0.7431192660550459
