year,country,fav_us,fav_china,corruption,aid_china,aid_us,vote_china,vote_us
2012,Honduras,,,-0.955132008,0.0,1094994.79,0.6119403,0.2173913
2012,Nicaragua,,,-0.78167814,0.0,956134.513,0.8507463,0.07246377
2012,Paraguay,,,-0.850602806,0.0,214335.6238,0.765625,0.1666667
2012,Uruguay,,,1.378116846,0.0,15520.32,0.7910448,0.1884058
2012,Venezuela,,,,4772419866.150052,87845.016,0.8059701,0.08695652
2013,Argentina,2.4216459977452085,2.186020293122886,-0.434306711,3659196.52431585,497573.21700000006,0.84375,0.21875
2013,Bolivia,2.4209860935524654,2.211125158027813,-0.587968886,7784440.38353074,513872.436,0.8666667,0.08333333
2013,Brasil,2.0,2.24012474012474,,,,,
2013,Chile,2.217573221757322,2.3870292887029287,1.498928189,52983102.0868584,2163805.19,0.8412698,0.2063492
2013,Colombia,2.1261682242990654,2.317757009345794,-0.441208124,1479.35096179934,27224956.0391,0.78125,0.1875
2013,Costa Rica,1.9282238442822384,2.2153284671532845,0.577441454,408678670.328072,554895.1240000001,0.8125,0.21875
2013,Ecuador,1.983739837398374,2.1392276422764227,-0.502911985,705775408.0043174,4611116.6262,0.9047619,0.07936508
2013,El Salvador,1.9142419601837672,2.168453292496172,-0.349343956,0.0,4162722.4938,0.85,0.15
2013,España,2.32753938077132,2.708310700706138,,,,,
2013,Guatemala,2.086131386861314,2.115328467153285,-0.639291465,0.0,2079928.346,0.8125,0.203125
2013,Honduras,1.8654891304347827,1.8872282608695647,-0.94505918,303348570.417559,2717560.735,0.734375,0.21875
2013,México,2.2311212814645307,2.2585812356979407,,,,,
2013,Nicaragua,2.044515103338633,2.1192368839427664,-0.73852396,0.0,3154068.004,0.8571429,0.0952381
2013,Panamá,1.8522571819425444,2.377564979480164,,,,,
2013,Paraguay,2.0,2.0656324582338903,-1.048131943,0.0,771820.959,0.609375,0.21875
2013,Perú,2.1222466960352424,2.2037444933920707,,,,,
