country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,0.472195711174986,5.0,3.0,2.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.279893391190029,5.0,2.0,2.0,3.0
Satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Greece,0.559786782380059,2.0,2.0,4.0,2.0
Dissatisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very bad,Greece,1.43642954722869,5.0,,,4.0
Dissatisfied,Very favorable,Somewhat favorable,Very bad,Greece,1.81732065514377,5.0,1.0,2.0,4.0
Dissatisfied,Somewhat favorable,Very unfavorable,Very bad,Greece,1.3727659980209,5.0,2.0,4.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.245402243247957,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,0.327854205555683,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,0.709575191109788,5.0,3.0,2.0,4.0
Dissatisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.245402243247957,5.0,4.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,0.678994241653014,5.0,3.0,3.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.499320950785557,5.0,3.0,2.0,3.0
Satisfied,Very unfavorable,Somewhat favorable,Somewhat good,Greece,0.390660573321986,2.0,4.0,2.0,2.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Greece,0.778582847066854,5.0,2.0,3.0,4.0
Satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.245402243247957,2.0,3.0,2.0,3.0
