satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.843766985256712,1.0,2.0,4.0,2.0
Somewhat satisfied,Don’t know (DO NOT READ),Very unfavorable,Somewhat good,Canada ,1.90653554663732,3.0,,4.0,2.0
Somewhat satisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.70436079597185,3.0,4.0,3.0,3.0
Not too satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,2.27795516957015,4.0,3.0,4.0,3.0
Not too satisfied,Very unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.450655950211729,4.0,4.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,1.5531337654073,3.0,2.0,3.0,3.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.357830231834713,3.0,3.0,3.0,2.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.242732939321176,1.0,2.0,3.0,2.0
Not too satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,1.74859758423955,4.0,2.0,4.0,4.0
Not at all satisfied,Very unfavorable,Very unfavorable,Very bad,Canada ,0.287276765065642,6.0,4.0,4.0,4.0
Very satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,0.447444762897016,1.0,2.0,4.0,4.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,0.542318236898866,3.0,2.0,4.0,3.0
Not too satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,1.18576415916812,4.0,2.0,4.0,2.0
Somewhat satisfied,Very unfavorable,Very unfavorable,Somewhat bad,Canada ,0.248227327020087,3.0,4.0,4.0,3.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.224214443918588,3.0,2.0,4.0,2.0
Somewhat satisfied,Very unfavorable,Somewhat unfavorable,Very good,Canada ,0.224214443918588,3.0,4.0,3.0,1.0
Not too satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.287276765065642,4.0,2.0,4.0,2.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.686758842541386,1.0,2.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,1.5531337654073,3.0,2.0,2.0,2.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.242004614838115,1.0,2.0,3.0,3.0
Very satisfied,Very favorable,Somewhat unfavorable,Somewhat good,Canada ,1.05116621982698,1.0,1.0,3.0,2.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Canada ,1.27105910444488,4.0,3.0,3.0,4.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Very bad,Canada ,0.224214443918588,3.0,3.0,4.0,4.0
Not at all satisfied,Very unfavorable,Very unfavorable,Very bad,Canada ,0.947130636712958,6.0,4.0,4.0,4.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,1.13897758478507,3.0,2.0,2.0,2.0
Somewhat satisfied,Very favorable,Somewhat favorable,Somewhat good,Canada ,0.989522397036689,3.0,1.0,2.0,2.0
Very satisfied,Somewhat unfavorable,Very unfavorable,Very bad,Canada ,0.224214443918588,1.0,3.0,4.0,4.0
Very satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.687844300415005,1.0,3.0,3.0,2.0
Very satisfied,Somewhat favorable,Don’t know (DO NOT READ),Somewhat good,Canada ,1.13897758478507,1.0,2.0,,2.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat good,Canada ,0.487668164792295,3.0,2.0,2.0,2.0
Not at all satisfied,Very favorable,Very unfavorable,Very bad,Canada ,0.476018929783788,6.0,1.0,4.0,4.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Canada ,0.27517458458317,3.0,2.0,3.0,3.0
Not at all satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,0.713055084656991,6.0,2.0,4.0,4.0
Very satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat good,Canada ,0.762270062608171,1.0,3.0,3.0,2.0
Not too satisfied,Very unfavorable,Don’t know (DO NOT READ),Very bad,Canada ,1.39118359238372,4.0,4.0,,4.0
Not too satisfied,Very favorable,Very unfavorable,Very bad,Canada ,0.600171797925016,4.0,1.0,4.0,4.0
